geo,time,inrikes_fodda_man
8001,2000,387
8001,2001,387
8001,2002,387
8001,2003,390
8001,2004,400
8001,2005,403
8001,2006,390
8001,2007,471
8001,2008,516
8001,2009,523
8001,2010,566
8001,2011,564
8001,2012,584
8001,2013,567
8001,2014,575
8001,2015,562
8001,2016,541
8001,2017,531
8002,2000,283
8002,2001,283
8002,2002,283
8002,2003,305
8002,2004,301
8002,2005,295
8002,2006,300
8002,2007,310
8002,2008,306
8002,2009,298
8002,2010,299
8002,2011,304
8002,2012,298
8002,2013,301
8002,2014,304
8002,2015,303
8002,2016,308
8002,2017,302
8003,2000,964
8003,2001,964
8003,2002,964
8003,2003,948
8003,2004,963
8003,2005,935
8003,2006,947
8003,2007,924
8003,2008,925
8003,2009,911
8003,2010,928
8003,2011,960
8003,2012,977
8003,2013,977
8003,2014,978
8003,2015,989
8003,2016,985
8003,2017,1012
8004,2000,411
8004,2001,411
8004,2002,411
8004,2003,395
8004,2004,404
8004,2005,416
8004,2006,443
8004,2007,420
8004,2008,434
8004,2009,436
8004,2010,438
8004,2011,437
8004,2012,425
8004,2013,426
8004,2014,424
8004,2015,440
8004,2016,452
8004,2017,434
8005,2000,405
8005,2001,405
8005,2002,405
8005,2003,404
8005,2004,384
8005,2005,402
8005,2006,398
8005,2007,395
8005,2008,393
8005,2009,391
8005,2010,394
8005,2011,406
8005,2012,407
8005,2013,419
8005,2014,417
8005,2015,399
8005,2016,403
8005,2017,435
8006,2000,256
8006,2001,256
8006,2002,256
8006,2003,261
8006,2004,277
8006,2005,281
8006,2006,289
8006,2007,308
8006,2008,298
8006,2009,303
8006,2010,306
8006,2011,309
8006,2012,313
8006,2013,314
8006,2014,316
8006,2015,320
8006,2016,327
8006,2017,331
8007,2000,528
8007,2001,528
8007,2002,528
8007,2003,533
8007,2004,518
8007,2005,573
8007,2006,578
8007,2007,557
8007,2008,562
8007,2009,559
8007,2010,565
8007,2011,587
8007,2012,567
8007,2013,579
8007,2014,601
8007,2015,614
8007,2016,597
8007,2017,585
8008,2000,593
8008,2001,593
8008,2002,593
8008,2003,556
8008,2004,555
8008,2005,598
8008,2006,595
8008,2007,592
8008,2008,574
8008,2009,583
8008,2010,596
8008,2011,585
8008,2012,587
8008,2013,607
8008,2014,611
8008,2015,607
8008,2016,642
8008,2017,627
8009,2000,737
8009,2001,737
8009,2002,737
8009,2003,774
8009,2004,743
8009,2005,753
8009,2006,754
8009,2007,748
8009,2008,725
8009,2009,735
8009,2010,747
8009,2011,715
8009,2012,758
8009,2013,770
8009,2014,772
8009,2015,788
8009,2016,810
8009,2017,799
8011,2000,528
8011,2001,528
8011,2002,528
8011,2003,539
8011,2004,536
8011,2005,510
8011,2006,508
8011,2007,521
8011,2008,526
8011,2009,524
8011,2010,529
8011,2011,522
8011,2012,506
8011,2013,506
8011,2014,518
8011,2015,526
8011,2016,530
8011,2017,531
8012,2000,708
8012,2001,708
8012,2002,708
8012,2003,716
8012,2004,723
8012,2005,699
8012,2006,708
8012,2007,687
8012,2008,653
8012,2009,664
8012,2010,678
8012,2011,680
8012,2012,681
8012,2013,687
8012,2014,696
8012,2015,708
8012,2016,715
8012,2017,728
8013,2000,125
8013,2001,125
8013,2002,125
8013,2003,123
8013,2004,110
8013,2005,113
8013,2006,105
8013,2007,105
8013,2008,97
8013,2009,109
8013,2010,151
8013,2011,179
8013,2012,195
8013,2013,210
8013,2014,236
8013,2015,220
8013,2016,226
8013,2017,202
8014,2000,656
8014,2001,656
8014,2002,656
8014,2003,656
8014,2004,653
8014,2005,626
8014,2006,629
8014,2007,592
8014,2008,573
8014,2009,583
8014,2010,571
8014,2011,579
8014,2012,593
8014,2013,610
8014,2014,615
8014,2015,623
8014,2016,633
8014,2017,636
8015,2000,177
8015,2001,177
8015,2002,177
8015,2003,173
8015,2004,175
8015,2005,180
8015,2006,178
8015,2007,178
8015,2008,181
8015,2009,183
8015,2010,170
8015,2011,177
8015,2012,180
8015,2013,168
8015,2014,175
8015,2015,171
8015,2016,164
8015,2017,159
8016,2000,250
8016,2001,250
8016,2002,250
8016,2003,246
8016,2004,253
8016,2005,250
8016,2006,251
8016,2007,270
8016,2008,271
8016,2009,266
8016,2010,263
8016,2011,274
8016,2012,271
8016,2013,278
8016,2014,269
8016,2015,270
8016,2016,271
8016,2017,269
8017,2000,176
8017,2001,176
8017,2002,176
8017,2003,163
8017,2004,172
8017,2005,165
8017,2006,156
8017,2007,147
8017,2008,178
8017,2009,180
8017,2010,178
8017,2011,192
8017,2012,217
8017,2013,202
8017,2014,192
8017,2015,186
8017,2016,184
8017,2017,184
8018,2000,395
8018,2001,395
8018,2002,395
8018,2003,411
8018,2004,416
8018,2005,421
8018,2006,422
8018,2007,402
8018,2008,407
8018,2009,395
8018,2010,404
8018,2011,390
8018,2012,399
8018,2013,393
8018,2014,392
8018,2015,380
8018,2016,382
8018,2017,381
8019,2000,297
8019,2001,297
8019,2002,297
8019,2003,284
8019,2004,286
8019,2005,286
8019,2006,292
8019,2007,282
8019,2008,287
8019,2009,288
8019,2010,290
8019,2011,283
8019,2012,285
8019,2013,284
8019,2014,284
8019,2015,294
8019,2016,290
8019,2017,292
8021,2000,109
8021,2001,109
8021,2002,109
8021,2003,114
8021,2004,112
8021,2005,122
8021,2006,126
8021,2007,128
8021,2008,127
8021,2009,132
8021,2010,130
8021,2011,128
8021,2012,111
8021,2013,110
8021,2014,114
8021,2015,117
8021,2016,125
8021,2017,133
8022,2000,390
8022,2001,390
8022,2002,390
8022,2003,372
8022,2004,365
8022,2005,350
8022,2006,358
8022,2007,361
8022,2008,355
8022,2009,360
8022,2010,358
8022,2011,365
8022,2012,387
8022,2013,389
8022,2014,366
8022,2015,356
8022,2016,365
8022,2017,359
8023,2000,73
8023,2001,73
8023,2002,73
8023,2003,72
8023,2004,76
8023,2005,83
8023,2006,88
8023,2007,100
8023,2008,114
8023,2009,108
8023,2010,128
8023,2011,132
8023,2012,127
8023,2013,145
8023,2014,130
8023,2015,129
8023,2016,144
8023,2017,139
8024,2000,501
8024,2001,501
8024,2002,501
8024,2003,494
8024,2004,483
8024,2005,465
8024,2006,448
8024,2007,426
8024,2008,425
8024,2009,427
8024,2010,450
8024,2011,454
8024,2012,457
8024,2013,482
8024,2014,469
8024,2015,473
8024,2016,468
8024,2017,473
8025,2000,298
8025,2001,298
8025,2002,298
8025,2003,299
8025,2004,303
8025,2005,294
8025,2006,287
8025,2007,283
8025,2008,280
8025,2009,277
8025,2010,276
8025,2011,284
8025,2012,295
8025,2013,294
8025,2014,295
8025,2015,280
8025,2016,287
8025,2017,299
8026,2000,413
8026,2001,413
8026,2002,413
8026,2003,425
8026,2004,415
8026,2005,407
8026,2006,402
8026,2007,395
8026,2008,378
8026,2009,383
8026,2010,373
8026,2011,369
8026,2012,380
8026,2013,394
8026,2014,373
8026,2015,393
8026,2016,385
8026,2017,381
8037,2000,119
8037,2001,119
8037,2002,119
8037,2003,130
8037,2004,130
8037,2005,132
8037,2006,131
8037,2007,135
8037,2008,139
8037,2009,133
8037,2010,151
8037,2011,180
8037,2012,187
8037,2013,192
8037,2014,184
8037,2015,190
8037,2016,189
8037,2017,189
8038,2000,160
8038,2001,160
8038,2002,160
8038,2003,165
8038,2004,167
8038,2005,171
8038,2006,177
8038,2007,175
8038,2008,173
8038,2009,171
8038,2010,174
8038,2011,172
8038,2012,169
8038,2013,173
8038,2014,174
8038,2015,171
8038,2016,177
8038,2017,181
8039,2000,306
8039,2001,306
8039,2002,306
8039,2003,319
8039,2004,326
8039,2005,332
8039,2006,332
8039,2007,356
8039,2008,370
8039,2009,374
8039,2010,384
8039,2011,380
8039,2012,375
8039,2013,378
8039,2014,375
8039,2015,387
8039,2016,387
8039,2017,382
8041,2000,101
8041,2001,101
8041,2002,101
8041,2003,106
8041,2004,114
8041,2005,113
8041,2006,118
8041,2007,116
8041,2008,120
8041,2009,121
8041,2010,117
8041,2011,113
8041,2012,107
8041,2013,107
8041,2014,133
8041,2015,147
8041,2016,152
8041,2017,152
8042,2000,143
8042,2001,143
8042,2002,143
8042,2003,134
8042,2004,134
8042,2005,134
8042,2006,139
8042,2007,139
8042,2008,138
8042,2009,127
8042,2010,131
8042,2011,127
8042,2012,128
8042,2013,120
8042,2014,118
8042,2015,117
8042,2016,117
8042,2017,112
8043,2000,159
8043,2001,159
8043,2002,159
8043,2003,148
8043,2004,149
8043,2005,139
8043,2006,136
8043,2007,140
8043,2008,138
8043,2009,137
8043,2010,129
8043,2011,130
8043,2012,123
8043,2013,124
8043,2014,123
8043,2015,121
8043,2016,122
8043,2017,122
8044,2000,145
8044,2001,145
8044,2002,145
8044,2003,150
8044,2004,155
8044,2005,153
8044,2006,152
8044,2007,159
8044,2008,165
8044,2009,163
8044,2010,173
8044,2011,172
8044,2012,174
8044,2013,165
8044,2014,159
8044,2015,167
8044,2016,165
8044,2017,165
8045,2000,98
8045,2001,98
8045,2002,98
8045,2003,100
8045,2004,102
8045,2005,93
8045,2006,91
8045,2007,104
8045,2008,94
8045,2009,89
8045,2010,92
8045,2011,86
8045,2012,87
8045,2013,90
8045,2014,88
8045,2015,100
8045,2016,103
8045,2017,99
8057,2000,192
8057,2001,192
8057,2002,192
8057,2003,195
8057,2004,195
8057,2005,197
8057,2006,184
8057,2007,184
8057,2008,182
8057,2009,194
8057,2010,190
8057,2011,185
8057,2012,178
8057,2013,173
8057,2014,175
8057,2015,169
8057,2016,173
8057,2017,168
8061,2000,385
8061,2001,385
8061,2002,385
8061,2003,379
8061,2004,371
8061,2005,367
8061,2006,367
8061,2007,370
8061,2008,369
8061,2009,369
8061,2010,368
8061,2011,360
8061,2012,358
8061,2013,369
8061,2014,354
8061,2015,359
8061,2016,358
8061,2017,359
8062,2000,383
8062,2001,383
8062,2002,383
8062,2003,387
8062,2004,399
8062,2005,403
8062,2006,390
8062,2007,380
8062,2008,378
8062,2009,379
8062,2010,376
8062,2011,385
8062,2012,383
8062,2013,379
8062,2014,375
8062,2015,373
8062,2016,368
8062,2017,364
8063,2000,1
8063,2001,1
8063,2002,1
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,61
8063,2009,89
8063,2010,118
8063,2011,143
8063,2012,169
8063,2013,183
8063,2014,195
8063,2015,196
8063,2016,203
8063,2017,209
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,26
8064,2012,0
8064,2013,0
8064,2014,2
8064,2015,7
8064,2016,20
8064,2017,26
8065,2000,1
8065,2001,1
8065,2002,1
8065,2003,1
8065,2004,1
8065,2005,0
8065,2006,1
8065,2007,1
8065,2008,2
8065,2009,2
8065,2010,2
8065,2011,1
8065,2012,0
8065,2013,1
8065,2014,0
8065,2015,1
8065,2016,2
8065,2017,1
8066,2000,231
8066,2001,231
8066,2002,231
8066,2003,231
8066,2004,224
8066,2005,205
8066,2006,223
8066,2007,222
8066,2008,201
8066,2009,199
8066,2010,200
8066,2011,205
8066,2012,196
8066,2013,191
8066,2014,202
8066,2015,202
8066,2016,198
8066,2017,200
8067,2000,394
8067,2001,394
8067,2002,394
8067,2003,382
8067,2004,393
8067,2005,398
8067,2006,397
8067,2007,405
8067,2008,402
8067,2009,399
8067,2010,382
8067,2011,383
8067,2012,372
8067,2013,378
8067,2014,388
8067,2015,383
8067,2016,386
8067,2017,391
8068,2000,359
8068,2001,359
8068,2002,359
8068,2003,364
8068,2004,359
8068,2005,357
8068,2006,363
8068,2007,354
8068,2008,353
8068,2009,366
8068,2010,370
8068,2011,383
8068,2012,373
8068,2013,359
8068,2014,362
8068,2015,371
8068,2016,384
8068,2017,377
8069,2000,74
8069,2001,74
8069,2002,74
8069,2003,77
8069,2004,77
8069,2005,79
8069,2006,74
8069,2007,79
8069,2008,75
8069,2009,81
8069,2010,84
8069,2011,86
8069,2012,85
8069,2013,85
8069,2014,81
8069,2015,82
8069,2016,79
8069,2017,80
8071,2000,188
8071,2001,188
8071,2002,188
8071,2003,184
8071,2004,191
8071,2005,185
8071,2006,189
8071,2007,189
8071,2008,184
8071,2009,177
8071,2010,176
8071,2011,170
8071,2012,169
8071,2013,173
8071,2014,180
8071,2015,185
8071,2016,190
8071,2017,193
8072,2000,126
8072,2001,126
8072,2002,126
8072,2003,121
8072,2004,121
8072,2005,116
8072,2006,113
8072,2007,114
8072,2008,107
8072,2009,111
8072,2010,109
8072,2011,103
8072,2012,105
8072,2013,107
8072,2014,108
8072,2015,117
8072,2016,111
8072,2017,112
8073,2000,384
8073,2001,384
8073,2002,384
8073,2003,383
8073,2004,370
8073,2005,364
8073,2006,359
8073,2007,355
8073,2008,361
8073,2009,372
8073,2010,372
8073,2011,363
8073,2012,367
8073,2013,356
8073,2014,349
8073,2015,353
8073,2016,349
8073,2017,346
8074,2000,194
8074,2001,194
8074,2002,194
8074,2003,196
8074,2004,202
8074,2005,202
8074,2006,201
8074,2007,201
8074,2008,201
8074,2009,198
8074,2010,200
8074,2011,202
8074,2012,200
8074,2013,205
8074,2014,197
8074,2015,208
8074,2016,211
8074,2017,210
8075,2000,171
8075,2001,171
8075,2002,171
8075,2003,172
8075,2004,172
8075,2005,170
8075,2006,165
8075,2007,173
8075,2008,167
8075,2009,167
8075,2010,168
8075,2011,169
8075,2012,169
8075,2013,165
8075,2014,161
8075,2015,163
8075,2016,162
8075,2017,156
8076,2000,153
8076,2001,153
8076,2002,153
8076,2003,150
8076,2004,147
8076,2005,149
8076,2006,157
8076,2007,152
8076,2008,150
8076,2009,157
8076,2010,154
8076,2011,153
8076,2012,151
8076,2013,151
8076,2014,146
8076,2015,152
8076,2016,152
8076,2017,152
808,2000,94
808,2001,94
808,2002,94
808,2003,98
808,2004,100
808,2005,98
808,2006,100
808,2007,97
808,2008,100
808,2009,99
808,2010,104
808,2011,106
808,2012,104
808,2013,102
808,2014,103
808,2015,104
808,2016,105
808,2017,103
11,2000,767
11,2001,767
11,2002,767
11,2003,754
11,2004,758
11,2005,747
11,2006,742
11,2007,732
11,2008,719
11,2009,723
11,2010,717
11,2011,710
11,2012,698
11,2013,682
11,2014,705
11,2015,705
11,2016,700
11,2017,703
12,2000,1794
12,2001,1794
12,2002,1794
12,2003,1796
12,2004,1772
12,2005,1756
12,2006,1729
12,2007,1730
12,2008,1725
12,2009,1723
12,2010,1710
12,2011,1694
12,2012,1722
12,2013,1726
12,2014,1726
12,2015,1731
12,2016,1698
12,2017,1704
13,2000,836
13,2001,836
13,2002,836
13,2003,832
13,2004,833
13,2005,841
13,2006,833
13,2007,838
13,2008,815
13,2009,798
13,2010,781
13,2011,764
13,2012,742
13,2013,728
13,2014,747
13,2015,738
13,2016,735
13,2017,743
14,2000,835
14,2001,835
14,2002,835
14,2003,839
14,2004,851
14,2005,846
14,2006,818
14,2007,816
14,2008,809
14,2009,812
14,2010,809
14,2011,802
14,2012,800
14,2013,802
14,2014,799
14,2015,798
14,2016,789
14,2017,792
15,2000,1095
15,2001,1095
15,2002,1095
15,2003,1123
15,2004,1128
15,2005,1149
15,2006,1140
15,2007,1145
15,2008,1160
15,2009,1158
15,2010,1182
15,2011,1175
15,2012,1178
15,2013,1165
15,2014,1185
15,2015,1222
15,2016,1253
15,2017,1301
61,2000,1135
61,2001,1135
61,2002,1135
61,2003,1121
61,2004,1134
61,2005,1113
61,2006,1110
61,2007,1098
61,2008,1100
61,2009,1088
61,2010,1088
61,2011,1099
61,2012,1088
61,2013,1075
61,2014,1063
61,2015,1071
61,2016,1068
61,2017,1059
62,2000,539
62,2001,539
62,2002,539
62,2003,543
62,2004,524
62,2005,515
62,2006,505
62,2007,494
62,2008,487
62,2009,489
62,2010,480
62,2011,471
62,2012,475
62,2013,476
62,2014,460
62,2015,468
62,2016,474
62,2017,492
63,2000,634
63,2001,634
63,2002,634
63,2003,633
63,2004,626
63,2005,618
63,2006,621
63,2007,609
63,2008,593
63,2009,571
63,2010,584
63,2011,587
63,2012,599
63,2013,603
63,2014,604
63,2015,607
63,2016,598
63,2017,599
81,2000,230
81,2001,230
81,2002,230
81,2003,230
81,2004,223
81,2005,215
81,2006,215
81,2007,216
81,2008,220
81,2009,217
81,2010,220
81,2011,213
81,2012,220
81,2013,231
81,2014,230
81,2015,238
81,2016,247
81,2017,255
82,2000,747
82,2001,747
82,2002,747
82,2003,772
82,2004,766
82,2005,779
82,2006,796
82,2007,804
82,2008,805
82,2009,795
82,2010,789
82,2011,795
82,2012,802
82,2013,808
82,2014,789
82,2015,798
82,2016,804
82,2017,810
83,2000,176
83,2001,176
83,2002,176
83,2003,175
83,2004,167
83,2005,174
83,2006,164
83,2007,165
83,2008,164
83,2009,166
83,2010,163
83,2011,165
83,2012,160
83,2013,150
83,2014,144
83,2015,148
83,2016,144
83,2017,144
2,2000,781
2,2001,781
2,2002,781
2,2003,781
2,2004,789
2,2005,798
2,2006,793
2,2007,809
2,2008,810
2,2009,807
2,2010,802
2,2011,805
2,2012,817
2,2013,793
2,2014,789
2,2015,776
2,2016,776
2,2017,791
5,2000,2422
5,2001,2422
5,2002,2422
5,2003,2415
5,2004,2414
5,2005,2432
5,2006,2423
5,2007,2429
5,2008,2449
5,2009,2456
5,2010,2448
5,2011,2435
5,2012,2439
5,2013,2431
5,2014,2436
5,2015,2451
5,2016,2484
5,2017,2464
7,2000,2097
7,2001,2097
7,2002,2097
7,2003,2151
7,2004,2211
7,2005,2274
7,2006,2364
7,2007,2391
7,2008,2425
7,2009,2456
7,2010,2459
7,2011,2498
7,2012,2498
7,2013,2504
7,2014,2523
7,2015,2517
7,2016,2528
7,2017,2561