geo,time,forvarvsfrekvens_summa
8001,2000,"76,7"
8001,2001,"76,7"
8001,2002,76
8001,2003,"77,7"
8001,2004,"75,7"
8001,2005,"74,2"
8001,2006,"79,7"
8001,2007,"81,4"
8001,2008,"80,9"
8001,2009,"81,5"
8001,2010,82
8001,2011,"81,1"
8001,2012,"81,3"
8001,2013,"82,5"
8001,2014,80
8001,2015,"78,8"
8001,2016,"75,1"
8002,2000,"80,4"
8002,2001,"80,4"
8002,2002,"79,6"
8002,2003,"78,1"
8002,2004,"76,6"
8002,2005,"76,9"
8002,2006,"77,5"
8002,2007,"77,6"
8002,2008,81
8002,2009,"77,5"
8002,2010,"77,6"
8002,2011,"78,2"
8002,2012,79
8002,2013,"78,3"
8002,2014,"80,7"
8002,2015,"79,4"
8002,2016,"79,2"
8003,2000,"78,5"
8003,2001,"78,5"
8003,2002,77
8003,2003,"74,9"
8003,2004,"75,4"
8003,2005,"75,6"
8003,2006,"78,3"
8003,2007,"81,5"
8003,2008,"80,8"
8003,2009,"76,9"
8003,2010,"77,3"
8003,2011,"80,4"
8003,2012,"80,2"
8003,2013,80
8003,2014,"79,4"
8003,2015,"80,5"
8003,2016,"81,9"
8004,2000,"71,2"
8004,2001,"71,2"
8004,2002,"73,5"
8004,2003,"71,9"
8004,2004,"73,3"
8004,2005,"76,2"
8004,2006,77
8004,2007,"80,4"
8004,2008,"78,9"
8004,2009,"72,6"
8004,2010,"74,7"
8004,2011,"74,6"
8004,2012,"74,8"
8004,2013,"75,5"
8004,2014,"78,9"
8004,2015,"77,8"
8004,2016,"80,3"
8005,2000,77
8005,2001,77
8005,2002,77
8005,2003,"78,2"
8005,2004,"78,2"
8005,2005,"75,9"
8005,2006,"80,2"
8005,2007,"79,5"
8005,2008,81
8005,2009,"77,9"
8005,2010,"77,6"
8005,2011,"75,8"
8005,2012,75
8005,2013,"76,3"
8005,2014,"75,5"
8005,2015,"74,6"
8005,2016,"74,5"
8006,2000,"77,5"
8006,2001,"77,5"
8006,2002,"78,1"
8006,2003,"81,5"
8006,2004,"78,9"
8006,2005,"80,1"
8006,2006,"83,4"
8006,2007,"82,5"
8006,2008,"80,2"
8006,2009,"77,8"
8006,2010,"79,8"
8006,2011,"79,3"
8006,2012,"83,1"
8006,2013,"79,4"
8006,2014,"80,2"
8006,2015,"81,4"
8006,2016,"82,1"
8007,2000,"77,2"
8007,2001,"77,2"
8007,2002,"77,2"
8007,2003,"78,8"
8007,2004,"76,7"
8007,2005,"79,9"
8007,2006,"78,5"
8007,2007,"81,4"
8007,2008,"75,7"
8007,2009,"72,2"
8007,2010,"75,2"
8007,2011,"73,5"
8007,2012,"75,6"
8007,2013,"75,5"
8007,2014,"76,6"
8007,2015,"77,8"
8007,2016,"78,9"
8008,2000,"75,7"
8008,2001,"75,7"
8008,2002,"75,4"
8008,2003,"75,8"
8008,2004,"75,1"
8008,2005,"76,6"
8008,2006,"80,2"
8008,2007,"81,4"
8008,2008,"80,2"
8008,2009,78
8008,2010,"78,6"
8008,2011,"78,1"
8008,2012,"80,4"
8008,2013,"79,7"
8008,2014,79
8008,2015,"79,7"
8008,2016,78
8009,2000,"76,5"
8009,2001,"76,5"
8009,2002,"78,3"
8009,2003,"77,9"
8009,2004,"77,6"
8009,2005,"79,8"
8009,2006,"81,9"
8009,2007,"81,6"
8009,2008,"80,5"
8009,2009,"79,1"
8009,2010,"80,8"
8009,2011,"80,7"
8009,2012,81
8009,2013,"80,3"
8009,2014,"80,7"
8009,2015,"76,8"
8009,2016,"78,9"
8011,2000,"78,5"
8011,2001,"78,5"
8011,2002,"78,7"
8011,2003,"78,6"
8011,2004,"76,2"
8011,2005,80
8011,2006,"80,8"
8011,2007,"83,3"
8011,2008,"82,4"
8011,2009,"81,6"
8011,2010,"80,7"
8011,2011,"82,6"
8011,2012,"81,8"
8011,2013,"83,4"
8011,2014,"80,8"
8011,2015,"79,9"
8011,2016,"84,1"
8012,2000,"69,1"
8012,2001,"69,1"
8012,2002,"70,4"
8012,2003,"75,2"
8012,2004,"72,8"
8012,2005,"72,3"
8012,2006,"75,3"
8012,2007,"74,1"
8012,2008,"67,4"
8012,2009,"66,1"
8012,2010,"66,8"
8012,2011,"67,8"
8012,2012,"68,6"
8012,2013,"70,6"
8012,2014,"68,7"
8012,2015,"67,6"
8012,2016,"68,9"
8013,2000,"35,9"
8013,2001,"35,9"
8013,2002,"36,3"
8013,2003,"37,1"
8013,2004,"34,1"
8013,2005,"36,3"
8013,2006,"34,8"
8013,2007,"35,7"
8013,2008,"30,8"
8013,2009,"25,7"
8013,2010,24
8013,2011,21
8013,2012,"23,2"
8013,2013,25
8013,2014,"21,1"
8013,2015,"25,3"
8013,2016,"25,9"
8014,2000,"60,4"
8014,2001,"60,4"
8014,2002,"61,5"
8014,2003,"62,1"
8014,2004,"61,8"
8014,2005,"61,8"
8014,2006,63
8014,2007,"59,8"
8014,2008,"51,4"
8014,2009,"42,1"
8014,2010,"39,2"
8014,2011,"38,2"
8014,2012,"41,6"
8014,2013,"43,2"
8014,2014,"43,9"
8014,2015,"44,6"
8014,2016,"49,3"
8015,2000,86
8015,2001,86
8015,2002,"86,6"
8015,2003,"84,7"
8015,2004,"80,8"
8015,2005,86
8015,2006,"86,9"
8015,2007,"89,8"
8015,2008,"91,4"
8015,2009,85
8015,2010,"83,1"
8015,2011,"86,9"
8015,2012,"83,5"
8015,2013,"86,1"
8015,2014,86
8015,2015,"87,4"
8015,2016,"87,7"
8016,2000,"87,4"
8016,2001,"87,4"
8016,2002,"85,1"
8016,2003,"87,6"
8016,2004,"86,7"
8016,2005,"87,2"
8016,2006,"87,8"
8016,2007,"88,7"
8016,2008,"90,3"
8016,2009,"88,8"
8016,2010,"87,7"
8016,2011,"87,1"
8016,2012,86
8016,2013,"84,7"
8016,2014,"85,6"
8016,2015,89
8016,2016,"87,5"
8017,2000,54
8017,2001,54
8017,2002,"55,1"
8017,2003,"55,2"
8017,2004,"54,2"
8017,2005,"56,2"
8017,2006,"60,8"
8017,2007,"46,5"
8017,2008,"43,5"
8017,2009,30
8017,2010,30
8017,2011,"29,7"
8017,2012,37
8017,2013,"40,1"
8017,2014,"39,8"
8017,2015,"41,9"
8017,2016,"44,4"
8018,2000,"83,6"
8018,2001,"83,6"
8018,2002,"84,8"
8018,2003,"84,4"
8018,2004,"84,4"
8018,2005,"85,7"
8018,2006,"88,7"
8018,2007,"87,7"
8018,2008,"85,7"
8018,2009,"86,5"
8018,2010,"84,3"
8018,2011,85
8018,2012,"87,2"
8018,2013,"83,3"
8018,2014,"84,8"
8018,2015,"85,1"
8018,2016,"85,6"
8019,2000,"83,4"
8019,2001,"83,4"
8019,2002,"85,6"
8019,2003,"83,2"
8019,2004,"84,8"
8019,2005,"83,2"
8019,2006,"83,6"
8019,2007,"83,5"
8019,2008,"85,3"
8019,2009,"83,2"
8019,2010,"87,2"
8019,2011,"86,1"
8019,2012,"87,4"
8019,2013,85
8019,2014,"89,3"
8019,2015,"88,6"
8019,2016,88
8021,2000,"75,8"
8021,2001,"75,8"
8021,2002,"79,5"
8021,2003,"77,2"
8021,2004,"78,7"
8021,2005,"80,4"
8021,2006,76
8021,2007,"79,2"
8021,2008,"78,7"
8021,2009,"76,4"
8021,2010,"74,7"
8021,2011,"76,4"
8021,2012,"73,3"
8021,2013,"79,6"
8021,2014,"71,3"
8021,2015,69
8021,2016,"69,7"
8022,2000,"48,5"
8022,2001,"48,5"
8022,2002,"49,9"
8022,2003,"46,1"
8022,2004,"45,8"
8022,2005,"47,7"
8022,2006,"45,7"
8022,2007,"46,9"
8022,2008,"46,3"
8022,2009,"36,3"
8022,2010,"38,1"
8022,2011,"37,9"
8022,2012,"36,8"
8022,2013,"37,3"
8022,2014,"38,1"
8022,2015,"37,3"
8022,2016,"41,2"
8023,2000,53
8023,2001,53
8023,2002,"55,1"
8023,2003,"55,2"
8023,2004,"50,9"
8023,2005,"54,9"
8023,2006,"66,4"
8023,2007,"67,5"
8023,2008,"73,8"
8023,2009,"71,4"
8023,2010,"59,3"
8023,2011,60
8023,2012,"59,9"
8023,2013,"60,3"
8023,2014,"65,5"
8023,2015,"49,6"
8023,2016,"48,4"
8024,2000,"44,3"
8024,2001,"44,3"
8024,2002,"44,5"
8024,2003,"36,5"
8024,2004,"41,4"
8024,2005,"34,5"
8024,2006,"33,9"
8024,2007,"31,2"
8024,2008,"29,5"
8024,2009,"27,6"
8024,2010,"25,1"
8024,2011,"22,9"
8024,2012,"29,1"
8024,2013,"30,4"
8024,2014,"33,1"
8024,2015,"33,3"
8024,2016,"35,4"
8025,2000,"83,1"
8025,2001,"83,1"
8025,2002,"83,3"
8025,2003,"82,2"
8025,2004,"81,9"
8025,2005,"82,3"
8025,2006,"82,8"
8025,2007,"84,1"
8025,2008,"82,4"
8025,2009,"78,8"
8025,2010,"81,3"
8025,2011,81
8025,2012,"83,8"
8025,2013,"82,8"
8025,2014,"84,8"
8025,2015,"81,9"
8025,2016,"74,5"
8026,2000,"81,8"
8026,2001,"81,8"
8026,2002,"82,3"
8026,2003,"81,2"
8026,2004,"80,4"
8026,2005,"83,1"
8026,2006,"82,3"
8026,2007,"81,3"
8026,2008,"82,6"
8026,2009,"84,2"
8026,2010,"84,7"
8026,2011,"84,2"
8026,2012,"82,6"
8026,2013,"82,5"
8026,2014,"81,9"
8026,2015,"80,7"
8026,2016,"77,9"
8037,2000,"81,7"
8037,2001,"81,7"
8037,2002,"80,6"
8037,2003,"81,6"
8037,2004,82
8037,2005,"78,7"
8037,2006,"83,8"
8037,2007,"78,6"
8037,2008,"77,6"
8037,2009,"77,8"
8037,2010,"81,7"
8037,2011,"85,5"
8037,2012,"86,6"
8037,2013,"84,3"
8037,2014,86
8037,2015,"86,2"
8037,2016,"84,1"
8038,2000,"84,2"
8038,2001,"84,2"
8038,2002,"86,8"
8038,2003,"85,6"
8038,2004,"86,2"
8038,2005,"83,9"
8038,2006,"86,3"
8038,2007,"87,1"
8038,2008,"88,9"
8038,2009,"88,9"
8038,2010,"87,4"
8038,2011,90
8038,2012,90
8038,2013,"92,9"
8038,2014,"87,8"
8038,2015,"89,1"
8038,2016,"88,8"
8039,2000,"76,8"
8039,2001,"76,8"
8039,2002,"78,7"
8039,2003,"79,9"
8039,2004,"80,2"
8039,2005,81
8039,2006,"82,2"
8039,2007,"82,7"
8039,2008,"83,4"
8039,2009,81
8039,2010,"81,8"
8039,2011,"84,1"
8039,2012,"83,5"
8039,2013,"82,8"
8039,2014,"81,1"
8039,2015,"80,8"
8039,2016,"81,3"
8041,2000,"75,3"
8041,2001,"75,3"
8041,2002,"77,1"
8041,2003,"74,4"
8041,2004,"74,1"
8041,2005,"67,1"
8041,2006,"75,5"
8041,2007,"82,1"
8041,2008,80
8041,2009,"77,8"
8041,2010,"78,8"
8041,2011,75
8041,2012,"74,3"
8041,2013,"75,5"
8041,2014,"81,6"
8041,2015,77
8041,2016,"79,5"
8042,2000,"75,6"
8042,2001,"75,6"
8042,2002,"75,6"
8042,2003,"73,5"
8042,2004,"71,3"
8042,2005,"75,6"
8042,2006,"75,8"
8042,2007,"76,4"
8042,2008,78
8042,2009,"78,3"
8042,2010,77
8042,2011,"83,8"
8042,2012,"81,9"
8042,2013,"74,7"
8042,2014,"80,1"
8042,2015,"76,5"
8042,2016,"76,6"
8043,2000,"66,7"
8043,2001,"66,7"
8043,2002,"61,6"
8043,2003,"63,1"
8043,2004,"61,2"
8043,2005,"58,6"
8043,2006,"66,9"
8043,2007,"66,2"
8043,2008,"62,8"
8043,2009,"63,6"
8043,2010,"67,4"
8043,2011,"68,7"
8043,2012,"68,6"
8043,2013,"69,4"
8043,2014,"69,7"
8043,2015,"69,5"
8043,2016,"68,3"
8044,2000,"89,8"
8044,2001,"89,8"
8044,2002,"93,8"
8044,2003,"85,7"
8044,2004,"88,5"
8044,2005,"87,3"
8044,2006,"87,1"
8044,2007,"87,5"
8044,2008,"89,7"
8044,2009,"90,1"
8044,2010,"88,8"
8044,2011,"86,8"
8044,2012,"85,3"
8044,2013,"85,8"
8044,2014,"86,7"
8044,2015,"85,5"
8044,2016,"84,4"
8045,2000,76
8045,2001,76
8045,2002,"79,2"
8045,2003,"66,9"
8045,2004,"78,6"
8045,2005,"73,3"
8045,2006,"75,8"
8045,2007,"74,5"
8045,2008,74
8045,2009,"69,1"
8045,2010,"68,5"
8045,2011,"72,1"
8045,2012,"70,3"
8045,2013,"74,4"
8045,2014,"70,5"
8045,2015,"70,5"
8045,2016,73
8057,2000,"81,9"
8057,2001,"81,9"
8057,2002,"84,3"
8057,2003,"83,8"
8057,2004,"83,9"
8057,2005,"83,5"
8057,2006,"87,6"
8057,2007,"84,9"
8057,2008,"85,9"
8057,2009,"83,1"
8057,2010,"82,5"
8057,2011,"83,8"
8057,2012,"84,6"
8057,2013,"83,8"
8057,2014,"87,2"
8057,2015,"86,8"
8057,2016,"88,3"
8061,2000,"84,8"
8061,2001,"84,8"
8061,2002,"86,7"
8061,2003,"87,7"
8061,2004,"86,4"
8061,2005,"87,2"
8061,2006,"90,1"
8061,2007,"89,5"
8061,2008,"88,8"
8061,2009,"88,4"
8061,2010,"88,6"
8061,2011,"89,2"
8061,2012,90
8061,2013,"88,3"
8061,2014,"88,2"
8061,2015,89
8061,2016,"89,5"
8062,2000,"88,4"
8062,2001,"88,4"
8062,2002,"86,6"
8062,2003,"87,4"
8062,2004,"84,9"
8062,2005,87
8062,2006,"88,5"
8062,2007,"89,4"
8062,2008,"88,3"
8062,2009,"86,3"
8062,2010,"87,2"
8062,2011,87
8062,2012,"89,4"
8062,2013,90
8062,2014,"90,5"
8062,2015,90
8062,2016,"91,3"
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,95
8063,2009,94
8063,2010,"95,2"
8063,2011,"95,9"
8063,2012,"96,4"
8063,2013,"95,3"
8063,2014,"96,1"
8063,2015,"96,5"
8063,2016,97
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,"57,1"
8064,2016,"79,3"
8065,2000,0
8065,2001,0
8065,2002,100
8065,2003,100
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,50
8065,2009,"33,3"
8065,2010,"33,3"
8065,2011,0
8065,2012,0
8065,2013,100
8065,2014,0
8065,2015,100
8065,2016,50
8066,2000,"66,8"
8066,2001,"66,8"
8066,2002,"68,1"
8066,2003,"68,1"
8066,2004,67
8066,2005,"68,9"
8066,2006,"72,5"
8066,2007,"67,9"
8066,2008,"65,7"
8066,2009,"57,1"
8066,2010,"62,8"
8066,2011,"56,5"
8066,2012,"55,5"
8066,2013,"54,2"
8066,2014,"55,8"
8066,2015,"59,6"
8066,2016,"60,6"
8067,2000,84
8067,2001,84
8067,2002,"84,6"
8067,2003,"85,8"
8067,2004,"83,1"
8067,2005,"84,5"
8067,2006,"86,9"
8067,2007,"86,2"
8067,2008,"86,2"
8067,2009,"84,7"
8067,2010,86
8067,2011,"88,6"
8067,2012,"88,1"
8067,2013,"86,3"
8067,2014,87
8067,2015,89
8067,2016,92
8068,2000,"83,9"
8068,2001,"83,9"
8068,2002,"85,2"
8068,2003,"84,1"
8068,2004,"84,1"
8068,2005,"83,7"
8068,2006,"83,7"
8068,2007,"85,8"
8068,2008,86
8068,2009,"84,7"
8068,2010,"83,3"
8068,2011,"87,6"
8068,2012,"88,4"
8068,2013,"85,5"
8068,2014,86
8068,2015,"82,2"
8068,2016,"84,5"
8069,2000,"83,7"
8069,2001,"83,7"
8069,2002,82
8069,2003,"82,3"
8069,2004,"82,4"
8069,2005,"85,6"
8069,2006,"87,5"
8069,2007,"90,4"
8069,2008,"88,2"
8069,2009,"88,5"
8069,2010,"85,3"
8069,2011,"86,5"
8069,2012,"85,9"
8069,2013,"85,4"
8069,2014,"80,8"
8069,2015,"84,4"
8069,2016,"85,4"
8071,2000,"80,7"
8071,2001,"80,7"
8071,2002,"81,6"
8071,2003,"80,2"
8071,2004,"83,4"
8071,2005,"80,2"
8071,2006,84
8071,2007,"83,8"
8071,2008,"82,9"
8071,2009,"84,5"
8071,2010,"83,7"
8071,2011,"84,7"
8071,2012,"84,9"
8071,2013,"85,8"
8071,2014,"84,3"
8071,2015,"85,3"
8071,2016,"87,1"
8072,2000,"79,5"
8072,2001,"79,5"
8072,2002,"77,9"
8072,2003,"78,2"
8072,2004,"78,4"
8072,2005,"75,8"
8072,2006,"83,6"
8072,2007,"86,4"
8072,2008,"84,6"
8072,2009,"82,1"
8072,2010,"79,2"
8072,2011,"83,5"
8072,2012,"82,2"
8072,2013,"83,2"
8072,2014,"82,1"
8072,2015,"77,6"
8072,2016,83
8073,2000,"65,6"
8073,2001,"65,6"
8073,2002,"64,6"
8073,2003,"66,1"
8073,2004,"64,8"
8073,2005,"66,7"
8073,2006,"66,9"
8073,2007,"67,5"
8073,2008,"65,7"
8073,2009,"62,5"
8073,2010,"63,9"
8073,2011,"64,3"
8073,2012,"64,5"
8073,2013,"65,5"
8073,2014,63
8073,2015,"60,2"
8073,2016,65
8074,2000,85
8074,2001,85
8074,2002,"84,4"
8074,2003,"83,9"
8074,2004,"85,2"
8074,2005,"85,8"
8074,2006,"87,9"
8074,2007,"89,8"
8074,2008,89
8074,2009,"85,6"
8074,2010,"87,2"
8074,2011,"87,2"
8074,2012,"85,9"
8074,2013,"84,9"
8074,2014,"91,4"
8074,2015,"90,3"
8074,2016,"90,1"
8075,2000,"79,8"
8075,2001,"79,8"
8075,2002,"82,1"
8075,2003,"86,4"
8075,2004,"84,1"
8075,2005,"84,6"
8075,2006,86
8075,2007,"89,2"
8075,2008,"88,7"
8075,2009,90
8075,2010,"88,1"
8075,2011,"91,8"
8075,2012,"94,6"
8075,2013,"93,1"
8075,2014,"93,2"
8075,2015,"91,4"
8075,2016,"89,9"
8076,2000,"81,8"
8076,2001,"81,8"
8076,2002,"82,3"
8076,2003,84
8076,2004,"82,6"
8076,2005,84
8076,2006,"81,9"
8076,2007,"84,6"
8076,2008,86
8076,2009,"87,4"
8076,2010,"85,1"
8076,2011,"85,1"
8076,2012,"84,6"
8076,2013,"83,7"
8076,2014,88
8076,2015,"87,1"
8076,2016,"89,9"
808,2000,"86,7"
808,2001,"86,7"
808,2002,"85,9"
808,2003,"87,4"
808,2004,"88,9"
808,2005,"85,5"
808,2006,"88,5"
808,2007,"87,3"
808,2008,"85,8"
808,2009,85
808,2010,"80,3"
808,2011,"85,8"
808,2012,"85,5"
808,2013,"89,4"
808,2014,"86,1"
808,2015,"84,7"
808,2016,"87,4"
11,2000,"74,1"
11,2001,"74,1"
11,2002,"75,4"
11,2003,78
11,2004,"73,5"
11,2005,"76,2"
11,2006,"78,8"
11,2007,"79,6"
11,2008,"79,2"
11,2009,"77,9"
11,2010,"76,6"
11,2011,"78,9"
11,2012,"78,1"
11,2013,"80,5"
11,2014,"78,3"
11,2015,"78,6"
11,2016,"80,2"
12,2000,"78,7"
12,2001,"78,7"
12,2002,79
12,2003,81
12,2004,"78,9"
12,2005,"79,8"
12,2006,"83,6"
12,2007,"83,7"
12,2008,"82,3"
12,2009,"79,1"
12,2010,"81,4"
12,2011,"82,2"
12,2012,"82,3"
12,2013,"82,2"
12,2014,84
12,2015,84
12,2016,"85,3"
13,2000,"74,3"
13,2001,"74,3"
13,2002,"74,4"
13,2003,"76,3"
13,2004,75
13,2005,"76,2"
13,2006,79
13,2007,"80,4"
13,2008,"79,2"
13,2009,"77,4"
13,2010,"79,3"
13,2011,"79,5"
13,2012,"80,7"
13,2013,"80,3"
13,2014,"81,9"
13,2015,83
13,2016,"83,2"
14,2000,"76,4"
14,2001,"76,4"
14,2002,"78,8"
14,2003,"80,8"
14,2004,"78,9"
14,2005,80
14,2006,"81,6"
14,2007,"82,1"
14,2008,"81,7"
14,2009,"79,5"
14,2010,"79,2"
14,2011,"80,5"
14,2012,"80,4"
14,2013,"79,3"
14,2014,82
14,2015,"83,5"
14,2016,"84,7"
15,2000,"76,9"
15,2001,"76,9"
15,2002,"77,7"
15,2003,"80,2"
15,2004,"78,5"
15,2005,"79,2"
15,2006,"81,3"
15,2007,"81,1"
15,2008,"80,9"
15,2009,"81,2"
15,2010,81
15,2011,"83,5"
15,2012,"83,5"
15,2013,85
15,2014,"85,7"
15,2015,"86,1"
15,2016,"86,6"
61,2000,"76,7"
61,2001,"76,7"
61,2002,"75,8"
61,2003,"79,1"
61,2004,"76,2"
61,2005,"79,6"
61,2006,"81,1"
61,2007,"82,5"
61,2008,"80,9"
61,2009,"77,1"
61,2010,"78,1"
61,2011,"78,1"
61,2012,"79,2"
61,2013,"80,2"
61,2014,"80,1"
61,2015,"79,8"
61,2016,"81,6"
62,2000,"76,2"
62,2001,"76,2"
62,2002,"77,6"
62,2003,"75,9"
62,2004,"76,9"
62,2005,"77,5"
62,2006,80
62,2007,"79,8"
62,2008,"77,9"
62,2009,"75,8"
62,2010,"77,4"
62,2011,"76,6"
62,2012,"76,8"
62,2013,"78,1"
62,2014,"77,6"
62,2015,"77,8"
62,2016,"69,2"
63,2000,"73,2"
63,2001,"73,2"
63,2002,"75,8"
63,2003,"75,7"
63,2004,"74,7"
63,2005,"77,1"
63,2006,"77,7"
63,2007,"78,1"
63,2008,"80,6"
63,2009,"78,9"
63,2010,"80,3"
63,2011,"78,2"
63,2012,"77,7"
63,2013,"77,2"
63,2014,"78,5"
63,2015,77
63,2016,81
81,2000,"75,1"
81,2001,"75,1"
81,2002,"72,2"
81,2003,"76,1"
81,2004,"70,4"
81,2005,"74,9"
81,2006,"78,4"
81,2007,"76,4"
81,2008,"75,2"
81,2009,77
81,2010,"76,7"
81,2011,80
81,2012,"76,3"
81,2013,"76,2"
81,2014,"79,4"
81,2015,"76,2"
81,2016,"78,9"
82,2000,"82,1"
82,2001,"82,1"
82,2002,"80,4"
82,2003,"82,6"
82,2004,"80,5"
82,2005,"83,5"
82,2006,"82,6"
82,2007,"84,9"
82,2008,"86,1"
82,2009,"84,7"
82,2010,"85,1"
82,2011,"88,4"
82,2012,"88,9"
82,2013,"88,3"
82,2014,"87,9"
82,2015,"87,9"
82,2016,"89,3"
83,2000,"70,8"
83,2001,"70,8"
83,2002,"70,1"
83,2003,77
83,2004,70
83,2005,"75,9"
83,2006,"77,7"
83,2007,"80,4"
83,2008,"80,5"
83,2009,"78,1"
83,2010,"77,6"
83,2011,"87,1"
83,2012,"83,3"
83,2013,"86,4"
83,2014,"87,5"
83,2015,"86,1"
83,2016,"85,5"
2,2000,"77,5"
2,2001,"77,5"
2,2002,"79,6"
2,2003,"80,3"
2,2004,"79,5"
2,2005,"79,6"
2,2006,"81,5"
2,2007,"81,5"
2,2008,"80,6"
2,2009,"79,5"
2,2010,"82,3"
2,2011,85
2,2012,"83,7"
2,2013,"82,6"
2,2014,"84,8"
2,2015,"82,7"
2,2016,"84,1"
5,2000,"81,1"
5,2001,"81,1"
5,2002,"81,2"
5,2003,"82,6"
5,2004,"81,1"
5,2005,"83,1"
5,2006,"83,9"
5,2007,"85,4"
5,2008,"85,2"
5,2009,"83,8"
5,2010,"83,3"
5,2011,"84,4"
5,2012,"84,9"
5,2013,85
5,2014,"85,5"
5,2015,"85,7"
5,2016,"86,6"
7,2000,"81,7"
7,2001,"81,7"
7,2002,"83,4"
7,2003,"83,1"
7,2004,"82,1"
7,2005,"83,2"
7,2006,84
7,2007,"85,4"
7,2008,"85,1"
7,2009,"84,2"
7,2010,"85,7"
7,2011,"87,3"
7,2012,"86,8"
7,2013,87
7,2014,"87,2"
7,2015,"87,5"
7,2016,89