kommundel,alternative_4_cdiac,gapminder_list,latitude,longitude,name,pandg,upper_case_name,kommun_5delar,kommun_13delar
8001,Saltö-Ekholmen,Saltö-Ekholmen,"1,556,656,503","5,616,839,263",Saltö-Ekholmen,SALTÖ-EKHOLMEN,SALTÖ-EKHOLMEN,kna501,k800
8002,Björkholmen,Björkholmen,"1,557,499,794","5,616,247,329",Björkholmen,BJÖRKHOLMEN,BJÖRKHOLMEN,kna501,k800
8003,Hantverkaregatan m.m.,Hantverkaregatan m.m.,"1,558,228,759","5,616,200,073",Hantverkaregatan m.m.,HANTVERKAREGATAN M.M.,HANTVERKAREGATAN M.M.,kna501,k800
8004,Västerudd,Västerudd,"155,643,529","5,614,328,167",Västerudd,VÄSTERUDD,VÄSTERUDD,kna501,k800
8005,Möllebacken,Möllebacken,"1,558,484,139","5,616,543,446",Möllebacken,MÖLLEBACKEN,MÖLLEBACKEN,kna501,k800
8006,Kalvhagen,Kalvhagen,"1,558,992,499","5,616,687,172",Kalvhagen,KALVHAGEN,KALVHAGEN,kna501,k800
8007,Ö. Hoglands park,Ö. Hoglands park,"1,559,118,066","5,616,269,225",Ö. Hoglands park,Ö. HOGLANDS PARK,Ö. HOGLANDS PARK,kna501,k800
8008,Bredgatan- Stumholmen m.m.,Bredgatan- Stumholmen m.m.,"1,561,002,836","5,616,090,192",Bredgatan- Stumholmen m.m.,BREDGATAN- STUMHOLMEN M.M.,BREDGATAN- STUMHOLMEN M.M.,kna501,k800
8009,Alamedan m.m.,Alamedan m.m.,"1,560,356,553","561,469,936",Alamedan m.m.,ALAMEDAN M.M.,ALAMEDAN M.M.,kna501,k800
8011,Långö,Långö,"1,558,294,835","5,617,925,551",Långö,LÅNGÖ,LÅNGÖ,kna501,k801
8012,Pantarholmen,Pantarholmen,"1,560,562,035","5,617,057,444",Pantarholmen,PANTARHOLMEN,PANTARHOLMEN,kna501,k801
8013,Gräsvik m.m.,Gräsvik m.m.,"1,559,311,051","5,618,180,087",Gräsvik m.m.,GRÄSVIK M.M.,GRÄSVIK M.M.,kna501,k801
8014,Galgamarken,Galgamarken,"1,559,830,913","5,617,962,819",Galgamarken,GALGAMARKEN,GALGAMARKEN,kna501,k801
8015,Bergåsa,Bergåsa,"1,560,165,515","5,618,356,336",Bergåsa,BERGÅSA,BERGÅSA,kna501,k801
8016,Västra Mark,Västra Mark,"1,559,673,216","5,619,148,247",Västra Mark,VÄSTRA MARK,VÄSTRA MARK,kna501,k801
8017,Annebo,Annebo,"156,145,245","5,618,309,031",Annebo,ANNEBO,ANNEBO,kna501,k801
8018,Norra Hästö,Norra Hästö,"1,563,119,979","561,819,852",Norra Hästö,NORRA HÄSTÖ,NORRA HÄSTÖ,kna501,k801
8019,Södra Hästö,Södra Hästö,"1,562,039,905","5,617,479,876",Södra Hästö,SÖDRA HÄSTÖ,SÖDRA HÄSTÖ,kna501,k801
8021,Lindesnäs,Lindesnäs,"1,561,451,267","5,619,075,775",Lindesnäs,LINDESNÄS,LINDESNÄS,kna501,k802
8022,Marieberg,Marieberg,"1,562,072,909","5,619,185,321",Marieberg,MARIEBERG,MARIEBERG,kna501,k802
8023,Gullberna,Gullberna,"156,362,548","5,619,371,051",Gullberna,GULLBERNA,GULLBERNA,kna501,k802
8024,Kungsmarken,Kungsmarken,"1,562,449,119","5,619,599,701",Kungsmarken,KUNGSMARKEN,KUNGSMARKEN,kna501,k802
8025,Mariedal,Mariedal,"1,561,231,221","5,620,875,524",Mariedal,MARIEDAL,MARIEDAL,kna501,k802
8026,Backabo,Backabo,"156,249,289","5,620,366,234",Backabo,BACKABO,BACKABO,kna501,k802
8037,Ringö,Ringö,"1,565,497,443","5,618,448,608",Ringö,RINGÖ,RINGÖ,kna502,k803
8038,Knösö,Knösö,"1,566,914,364","5,617,089,395",Knösö,KNÖSÖ,KNÖSÖ,kna502,k803
8039,Verkö,Verkö,"1,565,265,161","5,615,886,552",Verkö,VERKÖ,VERKÖ,kna502,k803
8041,Vedeby,Vedeby,"156,463,291","5,619,894,379",Vedeby,VEDEBY,VEDEBY,kna502,k804
8042,Lyckå-området,Lyckå-området,"1,565,294,396","5,619,488,566",Lyckå-området,LYCKÅ-OMRÅDET,LYCKÅ-OMRÅDET,kna502,k804
8043,AWA-vägen,AWA-vägen,"1,565,498,685","5,620,190,371",AWA-vägen,AWA-VÄGEN,AWA-VÄGEN,kna502,k804
8044,Carlandrabacken m.m.,Carlandrabacken m.m.,"1,566,344,579","562,018,693",Carlandrabacken m.m.,CARLANDRABACKEN M.M.,CARLANDRABACKEN M.M.,kna502,k804
8045,Kvarnhöjden,Kvarnhöjden,"1,566,379,484","561,990,557",Kvarnhöjden,KVARNHÖJDEN,KVARNHÖJDEN,kna502,k804
8057,Torskors,Torskors,"1,563,780,038","5,621,274,855",Torskors,TORSKORS,TORSKORS,kna502,k805
8061,Södra Hässlegården,Södra Hässlegården,"1,565,912,199","562,226,198",Södra Hässlegården,SÖDRA HÄSSLEGÅRDEN,SÖDRA HÄSSLEGÅRDEN,kna502,k806
8062,Norra Hässlegården,Norra Hässlegården,"1,566,467,365","5,622,371,712",Norra Hässlegården,NORRA HÄSSLEGÅRDEN,NORRA HÄSSLEGÅRDEN,kna502,k806
8063,Bastasjö,Bastasjö,"156,631,545","5,622,776,364",Bastasjö,BASTASJÖ,BASTASJÖ,kna502,k806
8064,Västra Gärde II,Västra Gärde II,"1,565,772,752","5,621,822,733",Västra Gärde II,VÄSTRA GÄRDE II,VÄSTRA GÄRDE II,kna502,k806
8065,Torskors Industriområde,Torskors Industriområde,"1,564,475,046","5,622,377,045",Torskors Industriområde,TORSKORS INDUSTRIOMRÅDE,TORSKORS INDUSTRIOMRÅDE,kna502,k806
8066,Södra Mölletorp,Södra Mölletorp,"1,566,552,948","5,620,595,553",Södra Mölletorp,SÖDRA MÖLLETORP,SÖDRA MÖLLETORP,kna502,k806
8067,Spandelstorp,Spandelstorp,"1,566,067,946","5,620,968,625",Spandelstorp,SPANDELSTORP,SPANDELSTORP,kna502,k806
8068,"Vedeby gata, Musikgatan","Vedeby gata, Musikgatan","1,565,198,372","562,113,168","Vedeby gata, Musikgatan","VEDEBY GATA, MUSIKGATAN","VEDEBY GATA, MUSIKGATAN",kna502,k806
8069,"Västra Gärde I, Mölletorp","Västra Gärde I, Mölletorp","1,566,691,092","5,621,361,513","Västra Gärde I, Mölletorp","VÄSTRA GÄRDE I, MÖLLETORP","VÄSTRA GÄRDE I, MÖLLETORP",kna502,k806
8071,"Norra Torp, Bellevue","Norra Torp, Bellevue","1,567,287,074","5,619,936,635","Norra Torp, Bellevue","NORRA TORP, BELLEVUE","NORRA TORP, BELLEVUE",kna502,k807
8072,Östra Torp,Östra Torp,"1,567,912,079","56,197,121",Östra Torp,ÖSTRA TORP,ÖSTRA TORP,kna502,k807
8073,Kronotorp,Kronotorp,"1,566,924,426","5,619,607,776",Kronotorp,KRONOTORP,KRONOTORP,kna502,k807
8074,Södra Beseboda,Södra Beseboda,"1,566,216,041","5,619,448,626",Södra Beseboda,SÖDRA BESEBODA,SÖDRA BESEBODA,kna502,k807
8075,Torp- Söder G:a Riksvägen,Torp- Söder G:a Riksvägen,"1,567,313,773","5,619,312,041",Torp- Söder G:a Riksvägen,TORP- SÖDER G:A RIKSVÄGEN,TORP- SÖDER G:A RIKSVÄGEN,kna502,k807
8076,Köpingegårdsområdet,Köpingegårdsområdet,"156,636,838","561,895,316",Köpingegårdsområdet,KÖPINGEGÅRDSOMRÅDET,KÖPINGEGÅRDSOMRÅDET,kna502,k807
808,Lösen o Lyckeåborg,Lösen o Lyckeåborg,"1,569,126,275","562,126,559",Lösen o Lyckeåborg,LÖSEN O LYCKEÅBORG,LÖSEN O LYCKEÅBORG,kna502,k808
11,Fågelmara,Fågelmara,"1,598,402,062","5,626,485,333",Fågelmara,FÅGELMARA,FÅGELMARA,kna503,k1
12,Jämjö,Jämjö,"1,587,476,084","5,621,874,053",Jämjö,JÄMJÖ,JÄMJÖ,kna503,k1
13,Torhamn,Torhamn,"1,583,732,387","5,610,601,709",Torhamn,TORHAMN,TORHAMN,kna503,k1
14,Sturkö,Sturkö,"156,621,866","5,610,377,043",Sturkö,STURKÖ,STURKÖ,kna503,k1
15,Ramdala,Ramdala,"1,578,022,994","5,619,916,963",Ramdala,RAMDALA,RAMDALA,kna503,k1
61,Fridlevstad,Fridlevstad,"1,555,155,791","5,631,200,896",Fridlevstad,FRIDLEVSTAD,FRIDLEVSTAD,kna504,k6
62,Holmsjö,Holmsjö,"1,556,913,746","564,367,176",Holmsjö,HOLMSJÖ,HOLMSJÖ,kna504,k6
63,Tving,Tving,"1,543,407,533","563,601,619",Tving,TVING,TVING,kna504,k6
81,Aspö,Aspö,"1,554,352,038","5,611,193,563",Aspö,ASPÖ,ASPÖ,kna501,k81
82,Kättilsmåla,Kättilsmåla,"1,573,178,184","5,624,638,513",Kättilsmåla,KÄTTILSMÅLA,KÄTTILSMÅLA,kna502,k808
83,Fjärdsjömåla/Flymen,Fjärdsjömåla/Flymen,"1,575,267,235","5,635,835,082",Fjärdsjömåla/Flymen,FJÄRDSJÖMÅLA/FLYMEN,FJÄRDSJÖMÅLA/FLYMEN,kna504,k6
2,Hasslö,Hasslö,"1,545,709,094","5,610,889,802",Hasslö,HASSLÖ,HASSLÖ,kna505,k2
5,Rödeby,Rödeby,"1,565,647,154","5,632,329,369",Rödeby,RÖDEBY,RÖDEBY,kna504,k6
7,Nättraby,Nättraby,"1,553,587,308","5,619,336,441",Nättraby,NÄTTRABY,NÄTTRABY,kna505,k2